foodname,sugar,sodium,cholesterol,potassium,saturated_fat
summer squash salad,3g,120mg,0mg,350mg,1.5g
chicken minced salad,4g,500mg,80mg,300mg,4g
sweet chilli almonds,12g,300mg,0mg,250mg,5g
tricolour salad,4g,150mg,0mg,380mg,1g
christmas cake,40g,150mg,40mg,200mg,10g
japanese curry arancini with barley salsa,8g,650mg,40mg,250mg,7g
chocolate nero cookies,25g,200mg,50mg,150mg,10g
lamb and chargrilled bell pepper soup,7g,550mg,80mg,450mg,10g
cream of almond soup,10g,450mg,5mg,250mg,7g
broccoli and almond soup,4g,300mg,0mg,450mg,5g
coconut lime quinoa salad,6g,200mg,0mg,400mg,5g
lemon honey glazed sous vide corn on the cob,18g,100mg,0mg,250mg,1g
watermelon and strawberry smoothie,30g,30mg,0mg,350mg,0.5g
almond and cranberry poha,10g,300mg,0mg,250mg,5g
almond and raw banana galawat,3g,300mg,0mg,200mg,5g
baked namakpara with roasted almond dip,2g,300mg,0mg,200mg,5g
grilled almond barfi,20g,100mg,2mg,180mg,7g
baked shankarpali,3g,300mg,0mg,100mg,5g
baked multigrain murukku,1g,450mg,0mg,150mg,5g
apple rabdi,25g,100mg,40mg,250mg,7g
baked namak para,2g,300mg,0mg,100mg,5g
dates and nuts ladoo,30g,60mg,2mg,300mg,8g
green lentil dessert fudge,30g,100mg,10mg,250mg,7g
cashew nut cookies,22g,200mg,35mg,180mg,10g
almond pearls,18g,100mg,0mg,220mg,8g
hawaiin papaya salad,15g,100mg,0mg,300mg,1g
vegetable som tam salad,15g,450mg,0mg,300mg,1g
spinach and feta crepes,3g,600mg,50mg,300mg,10g
couscous with ratatouille - tangy tomato sauce,10g,450mg,0mg,350mg,2g
baked almond kofta,3g,300mg,0mg,250mg,5g
almond and amaranth ladoo,22g,60mg,0mg,220mg,8g
moong dal kiwi coconut soup,10g,300mg,0mg,300mg,5g
mixed berry & banana smoothie,35g,30mg,0mg,400mg,1g
banana walnut smoothie,30g,30mg,0mg,400mg,5g
spicy watermelon soup,8g,100mg,0mg,300mg,0.5g
red rice poha,3g,300mg,0mg,250mg,4g
mixed salad with lotus root,3g,120mg,0mg,200mg,1g
sweet potato and quinoa bowl,5g,200mg,0mg,450mg,1g
corn and raw mango salad,10g,120mg,0mg,250mg,1g
khichdi,3g,300mg,0mg,200mg,3g
sugar free modak,3g,60mg,0mg,150mg,4g
beetroot modak,15g,60mg,0mg,150mg,4g
andhra pan fried pomfret,1g,450mg,50mg,300mg,5g
ghee roast chicken dosa quesadilla,3g,750mg,100mg,300mg,15g
steam bunny chicken bao,5g,450mg,50mg,200mg,5g
meat lovers pizza,10g,1200mg,120mg,300mg,18g
almond and chicken momos (without shell),3g,450mg,60mg,250mg,5g
christmas tree pizza,10g,750mg,60mg,250mg,10g
french pork chop,1g,450mg,120mg,350mg,15g
christmas chocolate fudge cookies,30g,200mg,50mg,200mg,15g
chicken parmigiana with tomato sauce,10g,900mg,110mg,350mg,15g
