Food_ID,Food_Name,C_type,Veg_Non,Calories,Protein,Carbs,Fat,sugar,sodium,cholesterol,potassium,saturated_fat
1,summer squash salad,Healthy Food,veg,150,3,20,7,3,120,0,350,1.5
2,chicken minced salad,Healthy Food,non-veg,220,25,5,10,4,500,80,300,4
3,sweet chilli almonds,Snack,veg,180,5,10,15,12,300,0,250,5
4,tricolour salad,Healthy Food,veg,120,3,15,8,4,150,0,380,1
5,christmas cake,Dessert,veg,350,5,50,15,40,150,40,200,10
6,japanese curry arancini with barley salsa,Japanese,veg,280,8,35,12,8,650,40,250,7
7,chocolate nero cookies,Dessert,veg,200,2,25,10,25,200,50,150,10
8,lamb and chargrilled bell pepper soup,Healthy Food,non-veg,300,25,15,18,7,550,80,450,10
9,cream of almond soup,Healthy Food,veg,250,8,10,20,10,450,5,250,7
10,broccoli and almond soup,Healthy Food,veg,220,10,12,15,4,300,0,450,5
11,coconut lime quinoa salad,Healthy Food,veg,200,5,25,10,6,200,0,400,5
12,lemon honey glazed sous vide corn on the cob,Snack,non-veg,180,4,28,8,18,100,0,250,1
13,watermelon and strawberry smoothie,Healthy Food,veg,140,2,32,1,30,30,0,350,0.5
15,almond and cranberry poha,Indian,veg,210,6,28,9,10,300,0,250,5
16,almond and raw banana galawat,Indian,veg,250,5,30,12,3,300,0,200,5
17,baked namakpara with roasted almond dip,Snack,veg,220,4,20,15,2,300,0,200,5
18,grilled almond barfi,Dessert,veg,180,5,18,12,20,100,2,180,7
19,baked shankarpali ,Snack,veg,200,3,25,10,3,300,0,100,5
20,baked multigrain murukku,Snack,veg,190,5,22,8,1,450,0,150,5
21,apple rabdi,Dessert,veg,300,6,35,15,25,100,40,250,7
22,baked namak para,Snack,veg,200,3,22,10,2,300,0,100,5
23,dates and nuts ladoo,Dessert,veg,250,5,28,14,30,60,2,300,8
24,green lentil dessert fudge,Dessert,veg,240,8,30,12,30,100,10,250,7
25,cashew nut cookies,Dessert,veg,210,4,25,12,22,200,35,180,10
26,almond pearls,Snack,veg,180,5,18,10,18,100,0,220,8
27,hawaiin papaya salad,Healthy Food,veg,120,2,25,2,15,100,0,300,1
28,vegetable som tam salad,Healthy Food,veg,130,3,22,2,15,450,0,300,1
29,spinach and feta crepes,French,veg,200,8,20,10,3,600,50,300,10
30,couscous with ratatouille - tangy tomato sauce,French,veg,220,6,28,8,10,450,0,350,2
31,baked almond kofta,Snack,veg,250,10,20,15,3,300,0,250,5
32,almond and amaranth ladoo,Dessert,veg,230,6,25,14,22,60,0,220,8
33,moong dal kiwi coconut soup,Indian,veg,180,6,20,8,10,300,0,300,5
34,mixed berry & banana smoothie,Healthy Food,veg,150,2,32,1,35,30,0,400,1
35,banana walnut smoothie,Healthy Food,veg,160,3,30,5,30,30,0,400,5
36,spicy watermelon soup,Healthy Food,veg,120,2,28,0,8,100,0,300,0.5
37,red rice poha,Indian,veg,210,5,32,8,3,300,0,250,4
38,mixed salad with lotus root,Healthy Food,veg,130,3,20,2,3,120,0,200,1
39,sweet potato and quinoa bowl,Healthy Food,veg,220,6,35,7,5,200,0,450,1
40,corn and raw mango salad,Healthy Food,veg,150,3,30,2,10,120,0,250,1
41,khichdi,Indian,veg,200,6,32,5,3,300,0,200,3
42,sugar free modak,Japanese,veg,180,3,25,8,3,60,0,150,4
43,beetroot modak,Japanese,veg,190,3,26,9,15,60,0,150,4
44,andhra pan fried pomfret,Indian,veg,250,28,5,15,1,450,50,300,5
45,ghee roast chicken dosa quesadilla,Mexican,non-veg,300,20,25,18,3,750,100,300,15
46,steam bunny chicken bao,Japanese,non-veg,260,15,30,10,5,450,50,200,5
47,meat lovers pizza,Italian,non-veg,350,20,40,18,10,1200,120,300,18
48,almond and chicken momos (without shell),Chinese,non-veg,220,18,25,8,3,450,60,250,5
49,christmas tree pizza,Italian,veg,330,18,35,15,10,750,60,250,10
50,french pork chop,French,veg,400,30,5,25,1,450,120,350,15
51,christmas chocolate fudge cookies,Dessert,veg,250,4,30,14,30,200,50,200,15
52,chicken parmigiana with tomato sauce,Italian,non-veg,320,25,20,15,10,900,110,350,15
53,chocolate appe,Snack,veg,200,3,25,10,22,100,30,180,7
54,sous-vide salmon tikka,French,non-veg,280,22,10,12,3,450,60,300,5
55,filo pizza,Italian,veg,330,18,35,15,10,750,60,250,10
56,chocolate samosa,Snack,veg,220,3,28,12,22,100,30,180,8
57,fish with jamun sauce,Indian,non-veg,250,25,10,15,15,450,50,300,4
58,dahi lasooni chicken,Indian,non-veg,300,28,5,18,3,450,80,300,5
59,pesto fish kebabs,Indian,non-veg,270,25,8,12,1,450,50,300,5
60,caramelized sesame smoked almonds,Snack,veg,190,5,12,15,18,300,0,220,5
61,crunchy vegetable dal sattu croquettes,Italian,veg,220,8,25,10,3,300,0,220,5
62,active charcoal modak,Japanese,veg,180,3,30,8,10,60,0,100,4
